chars,pinyin
"孀","shuāng"
"孅","xiān"
"子","zi"
"子","zǐ"
"孑","jié"
"孓","jué"
"孔","kǒng"
"孕","yùn"
"字","zì"
"存","cún"
"孙","sūn"
"孚","fú"
"孛","bèi"
"孛","bó"
"孜","zī"
"孝","xiào"
"孟","mèng"
"孢","bāo"
"季","jì"
"孤","gū"
"孥","nú"
"学","xué"
"孩","hái"
"孰","shú"
"孱","càn"
"孱","chán"
"孳","zī"
"孵","fū"
"孺","rú"
"孽","niè"
"宁","níng"
"宁","nìng"
"它","tā"
"宄","guǐ"
"宅","zhái"
"宇","yǔ"
"守","shǒu"
"安","ān"
"宋","sòng"
"完","wán"
"宏","hóng"
"宓","mì"
"宕","dàng"
"宗","zōng"
"官","guān"
"宙","zhòu"
"定","dìng"
"宛","wǎn"
"宜","yí"
"宝","bǎo"
"实","shí"
"宠","chǒng"
"审","shěn"
"客","kè"
"宣","xuān"
"室","shì"
"宥","yòu"
"宦","huàn"
"宧","yí"
"宪","xiàn"
"宫","gōng"
"宬","chéng"
"宰","zǎi"
"害","hài"
"宴","yàn"
"宵","xiāo"
"家","jiā"
"宸","chén"
"容","róng"
"宽","kuān"
"宾","bīn"
